Portfolio,Stock,Weight_Pct,Return_Pct,Sharpe_Ratio,Risk_Volatility_Pct,Risk_MaxDrawdown_Pct
Momentum All,UNIP6,8.71,315.8,2.34,73.5,42.2
Momentum All,HSBC,8.67,277.8,2.43,142.8,98.3
Momentum All,PRIO3,8.37,263.2,2.83,110.8,59.4
Momentum All,UNIP3,6.93,366.9,2.24,79.2,34.8
Momentum All,NVDA,4.94,362.1,1.75,202.1,99.9
Momentum All,INTC,4.2,282.3,2.06,99.5,51.4
Momentum Brazilian,ELET3,16.6,292.7,2.46,49.9,32.6
Momentum Brazilian,ELET6,15.6,266.1,2.07,60.8,37.3
Momentum Brazilian,ENEV3,10.17,112.5,2.79,27.5,12.8
Momentum Brazilian,PSSA3,9.51,235.4,2.72,49.6,36.7
Momentum Brazilian,PRIO3,8.74,263.2,2.83,110.8,59.4
Momentum Brazilian,UNIP6,8.67,315.8,2.34,73.5,42.2
Momentum Brazilian,LEVE3,8.62,122.1,1.91,46.0,39.7
Momentum Brazilian,ITUB4,8.17,170.1,2.79,36.4,20.0
Momentum Brazilian,TAEE11,7.11,136.8,2.27,36.1,22.1
Momentum Brazilian,UNIP3,6.8,366.9,2.24,79.2,34.8
Momentum International,EBR,18.19,50.8,2.97,16.4,10.1
Momentum International,ELP,17.08,45.3,1.94,16.0,9.8
Momentum International,BAC,12.98,196.9,2.94,98.3,72.3
Momentum International,AXP,12.3,172.1,1.36,263.7,99.9
Momentum International,PBR-A,11.78,56.7,1.54,28.9,21.9
Momentum International,PYPL,7.95,126.3,1.36,287.3,100.0
Momentum International,HSBC,7.81,277.8,2.43,142.8,98.3
Momentum International,NVDA,4.34,362.1,1.75,202.1,99.9
Momentum International,GOOG,4.15,931.7,2.38,306.1,100.0
Momentum International,INTC,3.42,282.3,2.06,99.5,51.4
Mean Reversion All,LLY,28.36,-99.9,0.41,259.7,99.2
Mean Reversion All,JPM,28.36,-61.4,1.04,228.9,99.0
Mean Reversion All,MSFT,28.36,-1.4,0.61,273.6,100.0
Mean Reversion All,AAPL,14.93,-99.9,-0.17,286.0,99.9
Mean Reversion International,LLY,28.36,-99.9,0.41,259.7,99.2
Mean Reversion International,JPM,28.36,-61.4,1.04,228.9,99.0
Mean Reversion International,MSFT,28.36,-1.4,0.61,273.6,100.0
Mean Reversion International,AAPL,14.93,-99.9,-0.17,286.0,99.9
Quality All,EBR,21.35,50.8,2.97,16.4,10.1
Quality All,BAC,14.24,196.9,2.94,98.3,72.3
Quality All,ELET3,12.44,292.7,2.46,49.9,32.6
Quality All,CPLE3,9.72,65.3,2.65,17.3,7.5
Quality All,BRAP3,9.29,95.1,2.41,26.6,18.7
Quality All,PRIO3,7.27,263.2,2.83,110.8,59.4
Quality All,HSBC,7.08,277.8,2.43,142.8,98.3
Quality All,ENEV3,6.82,112.5,2.79,27.5,12.8
Quality All,PSSA3,6.48,235.4,2.72,49.6,36.7
Quality All,ITUB4,5.32,170.1,2.79,36.4,20.0
Quality Brazilian,ELET3,20.78,292.7,2.46,49.9,32.6
Quality Brazilian,CPLE3,12.45,65.3,2.65,17.3,7.5
Quality Brazilian,BRAP3,11.88,95.1,2.41,26.6,18.7
Quality Brazilian,ENEV3,9.4,112.5,2.79,27.5,12.8
Quality Brazilian,PSSA3,8.86,235.4,2.72,49.6,36.7
Quality Brazilian,UNIP6,8.02,315.8,2.34,73.5,42.2
Quality Brazilian,ITUB4,7.6,170.1,2.79,36.4,20.0
Quality Brazilian,PRIO3,7.59,263.2,2.83,110.8,59.4
Quality Brazilian,TAEE11,7.18,136.8,2.27,36.1,22.1
Quality Brazilian,UNIP3,6.23,366.9,2.24,79.2,34.8
Quality International,EBR,18.19,50.8,2.97,16.4,10.1
Quality International,ELP,17.08,45.3,1.94,16.0,9.8
Quality International,BAC,12.98,196.9,2.94,98.3,72.3
Quality International,AXP,12.3,172.1,1.36,263.7,99.9
Quality International,PBR-A,11.78,56.7,1.54,28.9,21.9
Quality International,PYPL,7.95,126.3,1.36,287.3,100.0
Quality International,HSBC,7.81,277.8,2.43,142.8,98.3
Quality International,NVDA,4.34,362.1,1.75,202.1,99.9
Quality International,GOOG,4.15,931.7,2.38,306.1,100.0
Quality International,INTC,3.42,282.3,2.06,99.5,51.4
Value All,ELET3,14.73,292.7,2.46,49.9,32.6
Value All,ELET6,13.47,266.1,2.07,60.8,37.3
Value All,PSSA3,11.23,235.4,2.72,49.6,36.7
Value All,UNIP6,10.6,315.8,2.34,73.5,42.2
Value All,PRIO3,10.58,263.2,2.83,110.8,59.4
Value All,TAEE11,9.96,136.8,2.27,36.1,22.1
Value All,ITUB4,9.95,170.1,2.79,36.4,20.0
Value All,UNIP3,8.14,366.9,2.24,79.2,34.8
Value All,GOOG,6.09,931.7,2.38,306.1,100.0
Value All,INTC,5.26,282.3,2.06,99.5,51.4
Value Brazilian,ELET3,16.43,292.7,2.46,49.9,32.6
Value Brazilian,ELET6,15.57,266.1,2.07,60.8,37.3
Value Brazilian,BRAP3,12.04,95.1,2.41,26.6,18.7
Value Brazilian,ENEV3,9.81,112.5,2.79,27.5,12.8
Value Brazilian,PSSA3,9.04,235.4,2.72,49.6,36.7
Value Brazilian,UNIP6,8.14,315.8,2.34,73.5,42.2
Value Brazilian,ITUB4,7.85,170.1,2.79,36.4,20.0
Value Brazilian,PRIO3,7.83,263.2,2.83,110.8,59.4
Value Brazilian,TAEE11,7.07,136.8,2.27,36.1,22.1
Value Brazilian,UNIP3,6.22,366.9,2.24,79.2,34.8
Value International,EBR,18.19,50.8,2.97,16.4,10.1
Value International,ELP,17.08,45.3,1.94,16.0,9.8
Value International,BAC,12.98,196.9,2.94,98.3,72.3
Value International,AXP,12.3,172.1,1.36,263.7,99.9
Value International,PBR-A,11.78,56.7,1.54,28.9,21.9
Value International,PYPL,7.95,126.3,1.36,287.3,100.0
Value International,HSBC,7.81,277.8,2.43,142.8,98.3
Value International,NVDA,4.34,362.1,1.75,202.1,99.9
Value International,GOOG,4.15,931.7,2.38,306.1,100.0
Value International,INTC,3.42,282.3,2.06,99.5,51.4
Growth All,ELET3,18.62,292.7,2.46,49.9,32.6
Growth All,ELET6,18.62,266.1,2.07,60.8,37.3
Growth All,PSSA3,10.67,235.4,2.72,49.6,36.7
Growth All,GOOG,10.26,931.7,2.38,306.1,100.0
Growth All,UNIP6,8.71,315.8,2.34,73.5,42.2
Growth All,HSBC,8.67,277.8,2.43,142.8,98.3
Growth All,PRIO3,8.37,263.2,2.83,110.8,59.4
Growth All,UNIP3,6.93,366.9,2.24,79.2,34.8
Growth All,NVDA,4.94,362.1,1.75,202.1,99.9
Growth All,INTC,4.2,282.3,2.06,99.5,51.4
Growth Brazilian,ELET3,16.6,292.7,2.46,49.9,32.6
Growth Brazilian,ELET6,15.6,266.1,2.07,60.8,37.3
Growth Brazilian,ENEV3,10.17,112.5,2.79,27.5,12.8
Growth Brazilian,PSSA3,9.51,235.4,2.72,49.6,36.7
Growth Brazilian,PRIO3,8.74,263.2,2.83,110.8,59.4
Growth Brazilian,UNIP6,8.67,315.8,2.34,73.5,42.2
Growth Brazilian,LEVE3,8.62,122.1,1.91,46.0,39.7
Growth Brazilian,ITUB4,8.17,170.1,2.79,36.4,20.0
Growth Brazilian,TAEE11,7.11,136.8,2.27,36.1,22.1
Growth Brazilian,UNIP3,6.8,366.9,2.24,79.2,34.8
Growth International,EBR,18.19,50.8,2.97,16.4,10.1
Growth International,ELP,17.08,45.3,1.94,16.0,9.8
Growth International,BAC,12.98,196.9,2.94,98.3,72.3
Growth International,AXP,12.3,172.1,1.36,263.7,99.9
Growth International,PBR-A,11.78,56.7,1.54,28.9,21.9
Growth International,PYPL,7.95,126.3,1.36,287.3,100.0
Growth International,HSBC,7.81,277.8,2.43,142.8,98.3
Growth International,NVDA,4.34,362.1,1.75,202.1,99.9
Growth International,GOOG,4.15,931.7,2.38,306.1,100.0
Growth International,INTC,3.42,282.3,2.06,99.5,51.4
High Frequency All,JPM,11.17,-61.4,1.04,228.9,99.0
High Frequency All,UNIP3,11.1,366.9,2.24,79.2,34.8
High Frequency All,GGBR3,10.99,30.2,0.87,33.4,29.1
High Frequency All,BRAP3,10.98,95.1,2.41,26.6,18.7
High Frequency All,TAEE3,10.97,32.7,1.44,17.6,12.0
High Frequency All,NVDA,10.96,362.1,1.75,202.1,99.9
High Frequency All,ENEV3,10.94,112.5,2.79,27.5,12.8
High Frequency All,PBR-A,10.91,56.7,1.54,28.9,21.9
High Frequency All,LEVE3,10.88,122.1,1.91,46.0,39.7
High Frequency All,AAPL,1.1,-99.9,-0.17,286.0,99.9
High Frequency Brazilian,CPLE3,12.77,65.3,2.65,17.3,7.5
High Frequency Brazilian,BRAP3,12.38,95.1,2.41,26.6,18.7
High Frequency Brazilian,CMIG4,12.36,20.5,0.96,18.4,10.9
High Frequency Brazilian,TAEE3,10.64,32.7,1.44,17.6,12.0
High Frequency Brazilian,ENEV3,10.43,112.5,2.79,27.5,12.8
High Frequency Brazilian,GGBR3,9.35,30.2,0.87,33.4,29.1
High Frequency Brazilian,PSSA3,9.1,235.4,2.72,49.6,36.7
High Frequency Brazilian,LEVE3,8.77,122.1,1.91,46.0,39.7
High Frequency Brazilian,UNIP3,7.69,366.9,2.24,79.2,34.8
High Frequency Brazilian,TAEE11,6.5,136.8,2.27,36.1,22.1
High Frequency International,JPM,11.53,-61.4,1.04,228.9,99.0
High Frequency International,HSBC,11.52,277.8,2.43,142.8,98.3
High Frequency International,EBR,11.43,50.8,2.97,16.4,10.1
High Frequency International,NVDA,11.42,362.1,1.75,202.1,99.9
High Frequency International,GOOG,11.41,931.7,2.38,306.1,100.0
High Frequency International,ELP,11.39,45.3,1.94,16.0,9.8
High Frequency International,BAC,11.35,196.9,2.94,98.3,72.3
High Frequency International,PBR-A,11.34,56.7,1.54,28.9,21.9
High Frequency International,LLY,7.32,-99.9,0.41,259.7,99.2
High Frequency International,AAPL,1.28,-99.9,-0.17,286.0,99.9
Low Turnover All,CPLE3,13.05,65.3,2.65,17.3,7.5
Low Turnover All,CMIG4,12.41,20.5,0.96,18.4,10.9
Low Turnover All,TAEE3,12.32,32.7,1.44,17.6,12.0
Low Turnover All,BRAP3,11.08,95.1,2.41,26.6,18.7
Low Turnover All,ENEV3,10.73,112.5,2.79,27.5,12.8
Low Turnover All,PBR-A,10.53,56.7,1.54,28.9,21.9
Low Turnover All,LEVE3,9.24,122.1,1.91,46.0,39.7
Low Turnover All,GGBR3,8.76,30.2,0.87,33.4,29.1
Low Turnover All,UNIP3,7.11,366.9,2.24,79.2,34.8
Low Turnover All,NVDA,4.75,362.1,1.75,202.1,99.9
Low Turnover Brazilian,CPLE3,12.77,65.3,2.65,17.3,7.5
Low Turnover Brazilian,BRAP3,12.38,95.1,2.41,26.6,18.7
Low Turnover Brazilian,CMIG4,12.36,20.5,0.96,18.4,10.9
Low Turnover Brazilian,TAEE3,10.64,32.7,1.44,17.6,12.0
Low Turnover Brazilian,ENEV3,10.43,112.5,2.79,27.5,12.8
Low Turnover Brazilian,GGBR3,9.35,30.2,0.87,33.4,29.1
Low Turnover Brazilian,PSSA3,9.1,235.4,2.72,49.6,36.7
Low Turnover Brazilian,LEVE3,8.77,122.1,1.91,46.0,39.7
Low Turnover Brazilian,UNIP3,7.69,366.9,2.24,79.2,34.8
Low Turnover Brazilian,TAEE11,6.5,136.8,2.27,36.1,22.1
Low Turnover International,EBR,18.19,50.8,2.97,16.4,10.1
Low Turnover International,ELP,17.08,45.3,1.94,16.0,9.8
Low Turnover International,BAC,12.98,196.9,2.94,98.3,72.3
Low Turnover International,AXP,12.3,172.1,1.36,263.7,99.9
Low Turnover International,PBR-A,11.78,56.7,1.54,28.9,21.9
Low Turnover International,PYPL,7.95,126.3,1.36,287.3,100.0
Low Turnover International,HSBC,7.81,277.8,2.43,142.8,98.3
Low Turnover International,NVDA,4.34,362.1,1.75,202.1,99.9
Low Turnover International,GOOG,4.15,931.7,2.38,306.1,100.0
Low Turnover International,INTC,3.42,282.3,2.06,99.5,51.4
Swing Trading All,AXP,24.47,172.1,1.36,263.7,99.9
Swing Trading All,PYPL,24.47,126.3,1.36,287.3,100.0
Swing Trading All,BRKM6,24.47,28.2,1.23,35.3,24.3
Swing Trading All,INTC,14.38,282.3,2.06,99.5,51.4
Swing Trading All,MSFT,12.22,-1.4,0.61,273.6,100.0
Swing Trading Brazilian,BRKM6,100.0,28.2,1.23,35.3,24.3
Swing Trading International,AXP,27.46,172.1,1.36,263.7,99.9
Swing Trading International,PYPL,27.46,126.3,1.36,287.3,100.0
Swing Trading International,INTC,23.96,282.3,2.06,99.5,51.4
Swing Trading International,MSFT,21.12,-1.4,0.61,273.6,100.0
Risk Parity All,CPLE6,14.33,50.1,2.16,18.9,11.2
Risk Parity All,ELP,14.33,45.3,1.94,16.0,9.8
Risk Parity All,EBR,14.08,50.8,2.97,16.4,10.1
Risk Parity All,BAC,11.73,196.9,2.94,98.3,72.3
Risk Parity All,ELET3,10.35,292.7,2.46,49.9,32.6
Risk Parity All,CPLE3,4.83,65.3,2.65,17.3,7.5
Risk Parity All,ENEV3,4.66,112.5,2.79,27.5,12.8
Risk Parity All,BRAP3,4.31,95.1,2.41,26.6,18.7
Risk Parity All,PSSA3,3.73,235.4,2.72,49.6,36.7
Risk Parity All,HSBC,3.58,277.8,2.43,142.8,98.3
Risk Parity All,ITUB4,3.28,170.1,2.79,36.4,20.0
Risk Parity All,TAEE11,3.18,136.8,2.27,36.1,22.1
Risk Parity All,PRIO3,2.82,263.2,2.83,110.8,59.4
Risk Parity All,UNIP6,2.77,315.8,2.34,73.5,42.2
Risk Parity All,UNIP3,2.03,366.9,2.24,79.2,34.8
Risk Parity Brazilian,CPLE6,15.85,50.1,2.16,18.9,11.2
Risk Parity Brazilian,ALUP4,13.89,31.1,1.83,17.0,10.5
Risk Parity Brazilian,ELET3,11.76,292.7,2.46,49.9,32.6
Risk Parity Brazilian,ELET6,10.44,266.1,2.07,60.8,37.3
Risk Parity Brazilian,LEVE3,6.42,122.1,1.91,46.0,39.7
Risk Parity Brazilian,BPAN4,5.93,51.6,1.86,25.9,16.8
Risk Parity Brazilian,CPLE3,5.39,65.3,2.65,17.3,7.5
Risk Parity Brazilian,ENEV3,5.21,112.5,2.79,27.5,12.8
Risk Parity Brazilian,BRAP3,5.14,95.1,2.41,26.6,18.7
Risk Parity Brazilian,ITUB4,3.66,170.1,2.79,36.4,20.0
Risk Parity Brazilian,PSSA3,3.63,235.4,2.72,49.6,36.7
Risk Parity Brazilian,TAEE11,3.49,136.8,2.27,36.1,22.1
Risk Parity Brazilian,UNIP6,3.38,315.8,2.34,73.5,42.2
Risk Parity Brazilian,PRIO3,3.24,263.2,2.83,110.8,59.4
Risk Parity Brazilian,UNIP3,2.54,366.9,2.24,79.2,34.8
Risk Parity International,LLY,17.01,-99.9,0.41,259.7,99.2
Risk Parity International,PBR-A,13.55,56.7,1.54,28.9,21.9
Risk Parity International,GOOG,12.03,931.7,2.38,306.1,100.0
Risk Parity International,JPM,9.19,-61.4,1.04,228.9,99.0
Risk Parity International,BAC,8.41,196.9,2.94,98.3,72.3
Risk Parity International,AAPL,4.98,-99.9,-0.17,286.0,99.9
Risk Parity International,AXP,4.44,172.1,1.36,263.7,99.9
Risk Parity International,PYPL,4.43,126.3,1.36,287.3,100.0
Risk Parity International,HSBC,4.43,277.8,2.43,142.8,98.3
Risk Parity International,NVDA,4.42,362.1,1.75,202.1,99.9
Risk Parity International,INTC,4.39,282.3,2.06,99.5,51.4
Risk Parity International,MSFT,4.37,-1.4,0.61,273.6,100.0
Risk Parity International,EBR,4.24,50.8,2.97,16.4,10.1
Risk Parity International,ELP,4.11,45.3,1.94,16.0,9.8
Max Sharpe All,PSSA3,12.5,235.4,2.72,49.6,36.7
Max Sharpe All,CPLE3,12.5,65.3,2.65,17.3,7.5
Max Sharpe All,UNIP6,10.16,315.8,2.34,73.5,42.2
Max Sharpe All,UNIP3,9.43,366.9,2.24,79.2,34.8
Max Sharpe All,PRIO3,9.33,263.2,2.83,110.8,59.4
Max Sharpe All,HSBC,9.33,277.8,2.43,142.8,98.3
Max Sharpe All,BRAP3,8.51,95.1,2.41,26.6,18.7
Max Sharpe All,ITUB4,5.66,170.1,2.79,36.4,20.0
Max Sharpe All,TAEE11,5.59,136.8,2.27,36.1,22.1
Max Sharpe All,BAC,5.27,196.9,2.94,98.3,72.3
Max Sharpe All,GOOG,3.65,931.7,2.38,306.1,100.0
Max Sharpe All,ELET3,3.53,292.7,2.46,49.9,32.6
Max Sharpe All,EBR,2.54,50.8,2.97,16.4,10.1
Max Sharpe All,ENEV3,1.33,112.5,2.79,27.5,12.8
Max Sharpe All,CPLE6,0.67,50.1,2.16,18.9,11.2
Max Sharpe Brazilian,PSSA3,12.5,235.4,2.72,49.6,36.7
Max Sharpe Brazilian,CPLE3,12.5,65.3,2.65,17.3,7.5
Max Sharpe Brazilian,BPAN4,12.5,51.6,1.86,25.9,16.8
Max Sharpe Brazilian,UNIP6,10.16,315.8,2.34,73.5,42.2
Max Sharpe Brazilian,UNIP3,9.43,366.9,2.24,79.2,34.8
Max Sharpe Brazilian,PRIO3,9.33,263.2,2.83,110.8,59.4
Max Sharpe Brazilian,BRAP3,8.51,95.1,2.41,26.6,18.7
Max Sharpe Brazilian,ELET6,6.13,266.1,2.07,60.8,37.3
Max Sharpe Brazilian,ITUB4,5.66,170.1,2.79,36.4,20.0
Max Sharpe Brazilian,TAEE11,5.59,136.8,2.27,36.1,22.1
Max Sharpe Brazilian,ELET3,3.53,292.7,2.46,49.9,32.6
Max Sharpe Brazilian,LEVE3,1.33,122.1,1.91,46.0,39.7
Max Sharpe Brazilian,ENEV3,1.33,112.5,2.79,27.5,12.8
Max Sharpe Brazilian,ALUP4,0.83,31.1,1.83,17.0,10.5
Max Sharpe Brazilian,CPLE6,0.67,50.1,2.16,18.9,11.2
Max Sharpe International,ELP,11.26,45.3,1.94,16.0,9.8
Max Sharpe International,EBR,10.49,50.8,2.97,16.4,10.1
Max Sharpe International,INTC,10.0,282.3,2.06,99.5,51.4
Max Sharpe International,HSBC,10.0,277.8,2.43,142.8,98.3
Max Sharpe International,PYPL,10.0,126.3,1.36,287.3,100.0
Max Sharpe International,MSFT,10.0,-1.4,0.61,273.6,100.0
Max Sharpe International,NVDA,10.0,362.1,1.75,202.1,99.9
Max Sharpe International,AXP,9.87,172.1,1.36,263.7,99.9
Max Sharpe International,BAC,5.27,196.9,2.94,98.3,72.3
Max Sharpe International,JPM,4.77,-61.4,1.04,228.9,99.0
Max Sharpe International,GOOG,3.65,931.7,2.38,306.1,100.0
Max Sharpe International,PBR-A,3.27,56.7,1.54,28.9,21.9
Max Sharpe International,LLY,0.71,-99.9,0.41,259.7,99.2
Max Sharpe International,AAPL,0.71,-99.9,-0.17,286.0,99.9
Min Variance All,INTC,7.0,282.3,2.06,99.5,51.4
Min Variance All,PRIO3,6.71,263.2,2.83,110.8,59.4
Min Variance All,HSBC,6.44,277.8,2.43,142.8,98.3
Min Variance All,UNIP6,6.36,315.8,2.34,73.5,42.2
Min Variance All,PYPL,6.25,126.3,1.36,287.3,100.0
Min Variance All,UNIP3,6.25,366.9,2.24,79.2,34.8
Min Variance All,MSFT,6.22,-1.4,0.61,273.6,100.0
Min Variance All,ELET6,6.13,266.1,2.07,60.8,37.3
Min Variance All,NVDA,6.06,362.1,1.75,202.1,99.9
Min Variance All,BBSE3,6.0,30.6,0.97,68.3,60.6
Min Variance All,PSSA3,5.94,235.4,2.72,49.6,36.7
Min Variance All,ITUB4,5.66,170.1,2.79,36.4,20.0
Min Variance All,AXP,5.63,172.1,1.36,263.7,99.9
Min Variance All,BAC,5.27,196.9,2.94,98.3,72.3
Min Variance All,JPM,4.77,-61.4,1.04,228.9,99.0
Min Variance All,GOOG,3.65,931.7,2.38,306.1,100.0
Min Variance All,ELET3,3.53,292.7,2.46,49.9,32.6
Min Variance All,LEVE3,1.11,122.1,1.91,46.0,39.7
Min Variance All,AAPL,0.5,-99.9,-0.17,286.0,99.9
Min Variance All,LLY,0.5,-99.9,0.41,259.7,99.2
Min Variance Brazilian,BPAN4,12.5,51.6,1.86,25.9,16.8
Min Variance Brazilian,BRKM6,9.98,28.2,1.23,35.3,24.3
Min Variance Brazilian,BRAP3,8.51,95.1,2.41,26.6,18.7
Min Variance Brazilian,GGBR3,8.39,30.2,0.87,33.4,29.1
Min Variance Brazilian,BBSE3,8.09,30.6,0.97,68.3,60.6
Min Variance Brazilian,UNIP6,7.62,315.8,2.34,73.5,42.2
Min Variance Brazilian,UNIP3,7.07,366.9,2.24,79.2,34.8
Min Variance Brazilian,PRIO3,7.0,263.2,2.83,110.8,59.4
Min Variance Brazilian,ELET6,6.13,266.1,2.07,60.8,37.3
Min Variance Brazilian,ITUB4,5.66,170.1,2.79,36.4,20.0
Min Variance Brazilian,TAEE11,5.59,136.8,2.27,36.1,22.1
Min Variance Brazilian,SANB4,4.13,42.1,1.34,29.5,21.0
Min Variance Brazilian,ELET3,3.53,292.7,2.46,49.9,32.6
Min Variance Brazilian,LEVE3,1.11,122.1,1.91,46.0,39.7
Min Variance Brazilian,TAEE3,1.03,32.7,1.44,17.6,12.0
Min Variance Brazilian,EALT4,1.0,13.3,0.59,33.7,37.3
Min Variance Brazilian,ENEV3,1.0,112.5,2.79,27.5,12.8
Min Variance Brazilian,PSSA3,0.66,235.4,2.72,49.6,36.7
Min Variance Brazilian,CPLE6,0.5,50.1,2.16,18.9,11.2
Min Variance Brazilian,CMIG4,0.5,20.5,0.96,18.4,10.9
Min Variance International,INTC,10.0,282.3,2.06,99.5,51.4
Min Variance International,HSBC,10.0,277.8,2.43,142.8,98.3
Min Variance International,PYPL,10.0,126.3,1.36,287.3,100.0
Min Variance International,MSFT,9.98,-1.4,0.61,273.6,100.0
Min Variance International,NVDA,9.91,362.1,1.75,202.1,99.9
Min Variance International,EBR,9.85,50.8,2.97,16.4,10.1
Min Variance International,ELP,9.76,45.3,1.94,16.0,9.8
Min Variance International,AXP,9.62,172.1,1.36,263.7,99.9
Min Variance International,BAC,5.27,196.9,2.94,98.3,72.3
Min Variance International,JPM,4.77,-61.4,1.04,228.9,99.0
Min Variance International,GOOG,3.65,931.7,2.38,306.1,100.0
Min Variance International,PBR-A,3.27,56.7,1.54,28.9,21.9
Min Variance International,LLY,3.2,-99.9,0.41,259.7,99.2
Min Variance International,AAPL,0.71,-99.9,-0.17,286.0,99.9
Max Diversification All,LEVE3,16.39,122.1,1.91,46.0,39.7
Max Diversification All,EALT4,16.39,13.3,0.59,33.7,37.3
Max Diversification All,GOOG,10.4,931.7,2.38,306.1,100.0
Max Diversification All,LLY,9.03,-99.9,0.41,259.7,99.2
Max Diversification All,BAC,7.26,196.9,2.94,98.3,72.3
Max Diversification All,AAPL,4.35,-99.9,-0.17,286.0,99.9
Max Diversification All,AXP,4.11,172.1,1.36,263.7,99.9
Max Diversification All,PYPL,4.1,126.3,1.36,287.3,100.0
Max Diversification All,PRIO3,4.1,263.2,2.83,110.8,59.4
Max Diversification All,NVDA,4.09,362.1,1.75,202.1,99.9
Max Diversification All,UNIP3,4.06,366.9,2.24,79.2,34.8
Max Diversification All,INTC,4.06,282.3,2.06,99.5,51.4
Max Diversification All,MSFT,4.05,-1.4,0.61,273.6,100.0
Max Diversification All,BRKM6,3.85,28.2,1.23,35.3,24.3
Max Diversification All,UNIP6,3.78,315.8,2.34,73.5,42.2
Max Diversification Brazilian,BRKM6,12.9,28.2,1.23,35.3,24.3
Max Diversification Brazilian,EALT4,12.9,13.3,0.59,33.7,37.3
Max Diversification Brazilian,CPLE6,12.9,50.1,2.16,18.9,11.2
Max Diversification Brazilian,ELET3,10.34,292.7,2.46,49.9,32.6
Max Diversification Brazilian,ALUP4,9.64,31.1,1.83,17.0,10.5
Max Diversification Brazilian,ELET6,8.92,266.1,2.07,60.8,37.3
Max Diversification Brazilian,LEVE3,7.2,122.1,1.91,46.0,39.7
Max Diversification Brazilian,SANB4,5.57,42.1,1.34,29.5,21.0
Max Diversification Brazilian,BBSE3,3.8,30.6,0.97,68.3,60.6
Max Diversification Brazilian,BRAP3,3.41,95.1,2.41,26.6,18.7
Max Diversification Brazilian,PSSA3,2.85,235.4,2.72,49.6,36.7
Max Diversification Brazilian,GGBR3,2.72,30.2,0.87,33.4,29.1
Max Diversification Brazilian,UNIP6,2.54,315.8,2.34,73.5,42.2
Max Diversification Brazilian,PRIO3,2.52,263.2,2.83,110.8,59.4
Max Diversification Brazilian,UNIP3,1.78,366.9,2.24,79.2,34.8
Max Diversification International,LLY,17.01,-99.9,0.41,259.7,99.2
Max Diversification International,PBR-A,13.55,56.7,1.54,28.9,21.9
Max Diversification International,GOOG,12.03,931.7,2.38,306.1,100.0
Max Diversification International,JPM,9.19,-61.4,1.04,228.9,99.0
Max Diversification International,BAC,8.41,196.9,2.94,98.3,72.3
Max Diversification International,AAPL,4.98,-99.9,-0.17,286.0,99.9
Max Diversification International,AXP,4.44,172.1,1.36,263.7,99.9
Max Diversification International,PYPL,4.43,126.3,1.36,287.3,100.0
Max Diversification International,HSBC,4.43,277.8,2.43,142.8,98.3
Max Diversification International,NVDA,4.42,362.1,1.75,202.1,99.9
Max Diversification International,INTC,4.39,282.3,2.06,99.5,51.4
Max Diversification International,MSFT,4.37,-1.4,0.61,273.6,100.0
Max Diversification International,EBR,4.24,50.8,2.97,16.4,10.1
Max Diversification International,ELP,4.11,45.3,1.94,16.0,9.8
Concentrated All,GOOG,20.0,931.7,2.38,306.1,100.0
Concentrated All,UNIP3,20.0,366.9,2.24,79.2,34.8
Concentrated All,PRIO3,20.0,263.2,2.83,110.8,59.4
Concentrated All,UNIP6,20.0,315.8,2.34,73.5,42.2
Concentrated All,ELET3,20.0,292.7,2.46,49.9,32.6
Concentrated Brazilian,UNIP3,20.0,366.9,2.24,79.2,34.8
Concentrated Brazilian,PRIO3,20.0,263.2,2.83,110.8,59.4
Concentrated Brazilian,UNIP6,20.0,315.8,2.34,73.5,42.2
Concentrated Brazilian,ELET3,20.0,292.7,2.46,49.9,32.6
Concentrated Brazilian,PSSA3,20.0,235.4,2.72,49.6,36.7
Concentrated International,GOOG,20.0,931.7,2.38,306.1,100.0
Concentrated International,HSBC,20.0,277.8,2.43,142.8,98.3
Concentrated International,BAC,20.0,196.9,2.94,98.3,72.3
Concentrated International,NVDA,20.0,362.1,1.75,202.1,99.9
Concentrated International,INTC,20.0,282.3,2.06,99.5,51.4
Mega Diversified All,INTC,5.6,282.3,2.06,99.5,51.4
Mega Diversified All,PRIO3,5.31,263.2,2.83,110.8,59.4
Mega Diversified All,ELET6,5.21,266.1,2.07,60.8,37.3
Mega Diversified All,BRAP3,5.18,95.1,2.41,26.6,18.7
Mega Diversified All,TAEE11,5.17,136.8,2.27,36.1,22.1
Mega Diversified All,HSBC,4.97,277.8,2.43,142.8,98.3
Mega Diversified All,ITUB4,4.92,170.1,2.79,36.4,20.0
Mega Diversified All,UNIP6,4.87,315.8,2.34,73.5,42.2
Mega Diversified All,MSFT,4.74,-1.4,0.61,273.6,100.0
Mega Diversified All,PYPL,4.73,126.3,1.36,287.3,100.0
Mega Diversified All,UNIP3,4.73,366.9,2.24,79.2,34.8
Mega Diversified All,BAC,4.65,196.9,2.94,98.3,72.3
Mega Diversified All,JPM,4.6,-61.4,1.04,228.9,99.0
Mega Diversified All,GGBR3,4.59,30.2,0.87,33.4,29.1
Mega Diversified All,NVDA,4.5,362.1,1.75,202.1,99.9
Mega Diversified All,BBSE3,4.4,30.6,0.97,68.3,60.6
Mega Diversified All,PSSA3,4.34,235.4,2.72,49.6,36.7
Mega Diversified All,AXP,3.95,172.1,1.36,263.7,99.9
