symbol,explanation,explanation_pt
BRAP3,"BRAP3 @ $18.51 BUY signal: 78.0% vs 78.0% threshold (margin: +0.0pts). Conviction: 3.2/10 (Weak) - Model agreement: 100%, uncertainty: 1.30σ, stable ensemble. Top contributors: TD3 (56.2%), LSTM Cla (18.0%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 1.30 uncertainty. Regime-adjusted expected return: +2.1% over 10 days (regime penalty: 70%, vol penalty: 94%). Signal half-life: 4.4 days, optimal holding: 7 days, persistence probability: 67%. Market regime: sideways (trend: 0.02, vol: 0.18) - challenging conditions for this signal type.","BRAP3 @ $18.51 sinal COMPRA: 78.0% vs limiar 78.0% (margem: +0.0pts). Convicção: 3.2/10 (Fraco) - Consenso modelos: 100%, incerteza: 1.30σ, ensemble estável. Principais contribuintes: TD3 (56.2%), LSTM Cla (18.0%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 1.30. Retorno esperado ajustado: +2.1% em 10 dias (penalidade regime: 70%, vol: 94%). Meia-vida sinal: 4.4 dias, holding ótimo: 7 dias, probabilidade persistência: 67%. Regime mercado: lateral (tendência: 0.02, vol: 0.18) - condições desafiadoras para este tipo de sinal."
BRAP4,"BRAP4 @ $21.20 SELL signal: 64.0% vs 41.0% threshold (margin: +23.0pts). Conviction: 2.5/10 (Weak) - Model agreement: 61%, uncertainty: 2.05σ, very_unstable ensemble. Top contributors: SAC (35.9%), LSTM Cla (32.0%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 2.05 uncertainty. Regime-adjusted expected return: +1.6% over 10 days (regime penalty: 70%, vol penalty: 70%). Signal half-life: 1.0 days, optimal holding: 1 days, persistence probability: 30%. Market regime: sideways (trend: 0.01, vol: 0.30) - challenging conditions for this signal type.","BRAP4 @ $21.20 sinal VENDA: 64.0% vs limiar 41.0% (margem: +23.0pts). Convicção: 2.5/10 (Fraco) - Consenso modelos: 61%, incerteza: 2.05σ, ensemble muito instável. Principais contribuintes: SAC (35.9%), LSTM Cla (32.0%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 2.05. Retorno esperado ajustado: +1.6% em 10 dias (penalidade regime: 70%, vol: 70%). Meia-vida sinal: 1.0 dias, holding ótimo: 1 dias, probabilidade persistência: 30%. Regime mercado: lateral (tendência: 0.01, vol: 0.30) - condições desafiadoras para este tipo de sinal."
BRK-B,"BRK-B @ $502.01 shows an unclear signal with both BUY (31.0%, needs 9.0pts) and SELL (0.0%, needs 75.0pts) below thresholds. Conviction: 4.7/10 (Moderate) - Model agreement: 100%, uncertainty: 0.06σ, very_unstable ensemble. Top contributors: LSTM Cla (34.7%), LSTM SR (34.0%). Kelly-optimal position: 0.8% (vs 3% standard), risk-adjusted for 0.06 uncertainty. Regime-adjusted expected return: +2.6% over 10 days (regime penalty: 80%, vol penalty: 100%). Signal half-life: 5.7 days, optimal holding: 9 days, persistence probability: 78%. Market regime: sideways (trend: 0.00, vol: 0.11) - favorable conditions for this signal type.","BRK-B @ $502.01 sinal incerto: COMPRA (31.0%, precisa 9.0pts) e VENDA (0.0%, precisa 75.0pts) abaixo dos limiares. Convicção: 4.7/10 (Moderado) - Consenso modelos: 100%, incerteza: 0.06σ, ensemble muito instável. Principais contribuintes: LSTM Cla (34.7%), LSTM SR (34.0%). Posição Kelly-ótima: 0.8% (vs 3% padrão), ajustada para incerteza 0.06. Retorno esperado ajustado: +2.6% em 10 dias (penalidade regime: 80%, vol: 100%). Meia-vida sinal: 5.7 dias, holding ótimo: 9 dias, probabilidade persistência: 78%. Regime mercado: lateral (tendência: 0.00, vol: 0.11) - condições favoráveis para este tipo de sinal."
BRKM3,"BRKM3 @ $4.00 shows an unclear signal with both BUY (0.0%, needs 37.0pts) and SELL (12.0%, needs 33.0pts) below thresholds. Conviction: 1.4/10 (Weak) - Model agreement: 69%, uncertainty: 2.73σ, very_unstable ensemble. Top contributors: LSTM Cla (27.0%), LSTM 10 (22.2%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 2.73 uncertainty. Regime-adjusted expected return: +1.5% over 10 days (regime penalty: 80%, vol penalty: 60%). Signal half-life: 0.8 days, optimal holding: 1 days, persistence probability: 30%. Market regime: sideways (trend: 0.01, vol: 1.23) - favorable conditions for this signal type.","BRKM3 @ $4.00 sinal incerto: COMPRA (0.0%, precisa 37.0pts) e VENDA (12.0%, precisa 33.0pts) abaixo dos limiares. Convicção: 1.4/10 (Fraco) - Consenso modelos: 69%, incerteza: 2.73σ, ensemble muito instável. Principais contribuintes: LSTM Cla (27.0%), LSTM 10 (22.2%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 2.73. Retorno esperado ajustado: +1.5% em 10 dias (penalidade regime: 80%, vol: 60%). Meia-vida sinal: 0.8 dias, holding ótimo: 1 dias, probabilidade persistência: 30%. Regime mercado: lateral (tendência: 0.01, vol: 1.23) - condições favoráveis para este tipo de sinal."
BRKM5,"BRKM5 @ $4.41 shows an unclear signal with both BUY (0.0%, needs 32.0pts) and SELL (15.0%, needs 23.0pts) below thresholds. Conviction: 1.9/10 (Weak) - Model agreement: 39%, uncertainty: 7.00σ, moderate ensemble. Top contributors: LSTM 10 (32.9%), LSTM (29.3%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 7.00 uncertainty. Regime-adjusted expected return: +1.5% over 10 days (regime penalty: 80%, vol penalty: 60%). Signal half-life: 1.5 days, optimal holding: 2 days, persistence probability: 40%. Market regime: sideways (trend: 0.06, vol: 1.39) - favorable conditions for this signal type.","BRKM5 @ $4.41 sinal incerto: COMPRA (0.0%, precisa 32.0pts) e VENDA (15.0%, precisa 23.0pts) abaixo dos limiares. Convicção: 1.9/10 (Fraco) - Consenso modelos: 39%, incerteza: 7.00σ, ensemble moderado. Principais contribuintes: LSTM 10 (32.9%), LSTM (29.3%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 7.00. Retorno esperado ajustado: +1.5% em 10 dias (penalidade regime: 80%, vol: 60%). Meia-vida sinal: 1.5 dias, holding ótimo: 2 dias, probabilidade persistência: 40%. Regime mercado: lateral (tendência: 0.06, vol: 1.39) - condições favoráveis para este tipo de sinal."
BRKM6,"BRKM6 @ $6.79 SELL signal: 38.0% vs 34.0% threshold (margin: +4.0pts). Conviction: 2.0/10 (Weak) - Model agreement: 37%, uncertainty: 11.59σ, moderate ensemble. Top contributors: SAC (26.2%), LSTM SR (22.6%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 11.59 uncertainty. Regime-adjusted expected return: +2.2% over 10 days (regime penalty: 70%, vol penalty: 100%). Signal half-life: 3.0 days, optimal holding: 4 days, persistence probability: 40%. Market regime: sideways (trend: 0.03, vol: 0.10) - challenging conditions for this signal type.","BRKM6 @ $6.79 sinal VENDA: 38.0% vs limiar 34.0% (margem: +4.0pts). Convicção: 2.0/10 (Fraco) - Consenso modelos: 37%, incerteza: 11.59σ, ensemble moderado. Principais contribuintes: SAC (26.2%), LSTM SR (22.6%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 11.59. Retorno esperado ajustado: +2.2% em 10 dias (penalidade regime: 70%, vol: 100%). Meia-vida sinal: 3.0 dias, holding ótimo: 4 dias, probabilidade persistência: 40%. Regime mercado: lateral (tendência: 0.03, vol: 0.10) - condições desafiadoras para este tipo de sinal."
BRSR3,"BRSR3 @ $18.08 BUY signal: 98.0% vs 96.0% threshold (margin: +2.0pts). Conviction: 5.0/10 (Moderate) - Model agreement: 100%, uncertainty: 0.44σ, stable ensemble. Top contributors: PPO (33.3%), LSTM (33.3%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 0.44 uncertainty. Regime-adjusted expected return: +2.0% over 10 days (regime penalty: 70%, vol penalty: 90%). Signal half-life: 9.4 days, optimal holding: 14 days, persistence probability: 95%. Market regime: sideways (trend: 0.06, vol: 0.20) - challenging conditions for this signal type.","BRSR3 @ $18.08 sinal COMPRA: 98.0% vs limiar 96.0% (margem: +2.0pts). Convicção: 5.0/10 (Moderado) - Consenso modelos: 100%, incerteza: 0.44σ, ensemble estável. Principais contribuintes: PPO (33.3%), LSTM (33.3%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 0.44. Retorno esperado ajustado: +2.0% em 10 dias (penalidade regime: 70%, vol: 90%). Meia-vida sinal: 9.4 dias, holding ótimo: 14 dias, probabilidade persistência: 95%. Regime mercado: lateral (tendência: 0.06, vol: 0.20) - condições desafiadoras para este tipo de sinal."
BRSR5,"BRSR5 @ $16.75 shows an unclear signal with both BUY (43.0%, needs 10.0pts) and SELL (33.0%, needs 24.0pts) below thresholds. Conviction: 2.8/10 (Weak) - Model agreement: 64%, uncertainty: 4.54σ, stable ensemble. Top contributors: SAC (19.3%), LSTM (17.3%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 4.54 uncertainty. Regime-adjusted expected return: +2.5% over 10 days (regime penalty: 80%, vol penalty: 98%). Signal half-life: 3.2 days, optimal holding: 5 days, persistence probability: 48%. Market regime: sideways (trend: 0.06, vol: 0.16) - favorable conditions for this signal type.","BRSR5 @ $16.75 sinal incerto: COMPRA (43.0%, precisa 10.0pts) e VENDA (33.0%, precisa 24.0pts) abaixo dos limiares. Convicção: 2.8/10 (Fraco) - Consenso modelos: 64%, incerteza: 4.54σ, ensemble estável. Principais contribuintes: SAC (19.3%), LSTM (17.3%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 4.54. Retorno esperado ajustado: +2.5% em 10 dias (penalidade regime: 80%, vol: 98%). Meia-vida sinal: 3.2 dias, holding ótimo: 5 dias, probabilidade persistência: 48%. Regime mercado: lateral (tendência: 0.06, vol: 0.16) - condições favoráveis para este tipo de sinal."
BRSR6,"BRSR6 @ $15.16 BUY signal: 98.0% vs 65.0% threshold (margin: +33.0pts). Conviction: 5.2/10 (Moderate) - Model agreement: 100%, uncertainty: 1.07σ, stable ensemble. Top contributors: LSTM Cla (34.0%), LSTM 10 (28.5%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 1.07 uncertainty. Regime-adjusted expected return: +1.7% over 10 days (regime penalty: 70%, vol penalty: 76%). Signal half-life: 4.8 days, optimal holding: 7 days, persistence probability: 89%. Market regime: sideways (trend: 0.10, vol: 0.27) - challenging conditions for this signal type.","BRSR6 @ $15.16 sinal COMPRA: 98.0% vs limiar 65.0% (margem: +33.0pts). Convicção: 5.2/10 (Moderado) - Consenso modelos: 100%, incerteza: 1.07σ, ensemble estável. Principais contribuintes: LSTM Cla (34.0%), LSTM 10 (28.5%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 1.07. Retorno esperado ajustado: +1.7% em 10 dias (penalidade regime: 70%, vol: 76%). Meia-vida sinal: 4.8 dias, holding ótimo: 7 dias, probabilidade persistência: 89%. Regime mercado: lateral (tendência: 0.10, vol: 0.27) - condições desafiadoras para este tipo de sinal."
BRZU ,"BRZU  @ $105.72 shows an unclear signal with both BUY (60.0%, needs 5.0pts) and SELL (0.0%, needs 75.0pts) below thresholds. Conviction: 3.1/10 (Weak) - Model agreement: 100%, uncertainty: 6.12σ, stable ensemble. Top contributors: LSTM SR (32.5%), LSTM Cla (31.9%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 6.12 uncertainty. Regime-adjusted expected return: +1.2% over 10 days (regime penalty: 60%, vol penalty: 60%). Signal half-life: 1.8 days, optimal holding: 3 days, persistence probability: 48%. Market regime: trending (trend: 0.13, vol: 0.46) - challenging conditions for this signal type.","BRZU  @ $105.72 sinal incerto: COMPRA (60.0%, precisa 5.0pts) e VENDA (0.0%, precisa 75.0pts) abaixo dos limiares. Convicção: 3.1/10 (Fraco) - Consenso modelos: 100%, incerteza: 6.12σ, ensemble estável. Principais contribuintes: LSTM SR (32.5%), LSTM Cla (31.9%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 6.12. Retorno esperado ajustado: +1.2% em 10 dias (penalidade regime: 60%, vol: 60%). Meia-vida sinal: 1.8 dias, holding ótimo: 3 dias, probabilidade persistência: 48%. Regime mercado: tendencial (tendência: 0.13, vol: 0.46) - condições desafiadoras para este tipo de sinal."
BSBR ,"BSBR  @ $5.88 shows an unclear signal with both BUY (24.0%, needs 48.0pts) and SELL (14.0%, needs 53.0pts) below thresholds. Conviction: 1.8/10 (Weak) - Model agreement: 31%, uncertainty: 7.76σ, moderate ensemble. Top contributors: PPO (28.1%), LSTM Cla (25.4%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 7.76 uncertainty. Regime-adjusted expected return: +1.9% over 10 days (regime penalty: 80%, vol penalty: 76%). Signal half-life: 2.1 days, optimal holding: 3 days, persistence probability: 40%. Market regime: sideways (trend: 0.02, vol: 0.27) - favorable conditions for this signal type.","BSBR  @ $5.88 sinal incerto: COMPRA (24.0%, precisa 48.0pts) e VENDA (14.0%, precisa 53.0pts) abaixo dos limiares. Convicção: 1.8/10 (Fraco) - Consenso modelos: 31%, incerteza: 7.76σ, ensemble moderado. Principais contribuintes: PPO (28.1%), LSTM Cla (25.4%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 7.76. Retorno esperado ajustado: +1.9% em 10 dias (penalidade regime: 80%, vol: 76%). Meia-vida sinal: 2.1 dias, holding ótimo: 3 dias, probabilidade persistência: 40%. Regime mercado: lateral (tendência: 0.02, vol: 0.27) - condições favoráveis para este tipo de sinal."
CIG  ,"CIG   @ $2.15 BUY signal: 76.0% vs 69.0% threshold (margin: +7.0pts). Conviction: 3.6/10 (Moderate) - Model agreement: 100%, uncertainty: 2.09σ, stable ensemble. Top contributors: LSTM Cla (44.8%), LSTM SR (21.5%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 2.09 uncertainty. Regime-adjusted expected return: +1.3% over 10 days (regime penalty: 70%, vol penalty: 60%). Signal half-life: 2.1 days, optimal holding: 3 days, persistence probability: 48%. Market regime: sideways (trend: 0.09, vol: 0.35) - challenging conditions for this signal type.","CIG   @ $2.15 sinal COMPRA: 76.0% vs limiar 69.0% (margem: +7.0pts). Convicção: 3.6/10 (Moderado) - Consenso modelos: 100%, incerteza: 2.09σ, ensemble estável. Principais contribuintes: LSTM Cla (44.8%), LSTM SR (21.5%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 2.09. Retorno esperado ajustado: +1.3% em 10 dias (penalidade regime: 70%, vol: 60%). Meia-vida sinal: 2.1 dias, holding ótimo: 3 dias, probabilidade persistência: 48%. Regime mercado: lateral (tendência: 0.09, vol: 0.35) - condições desafiadoras para este tipo de sinal."
CMIG3,"CMIG3 @ $17.20 shows an unclear signal with both BUY (13.0%, needs 84.0pts) and SELL (34.0%, needs 32.0pts) below thresholds. Conviction: 1.9/10 (Weak) - Model agreement: 100%, uncertainty: 1.26σ, very_unstable ensemble. Top contributors: LSTM (66.5%), LSTM SR (33.5%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 1.26 uncertainty. Regime-adjusted expected return: +1.8% over 10 days (regime penalty: 80%, vol penalty: 72%). Signal half-life: 1.5 days, optimal holding: 2 days, persistence probability: 30%. Market regime: sideways (trend: 0.08, vol: 0.29) - favorable conditions for this signal type.","CMIG3 @ $17.20 sinal incerto: COMPRA (13.0%, precisa 84.0pts) e VENDA (34.0%, precisa 32.0pts) abaixo dos limiares. Convicção: 1.9/10 (Fraco) - Consenso modelos: 100%, incerteza: 1.26σ, ensemble muito instável. Principais contribuintes: LSTM (66.5%), LSTM SR (33.5%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 1.26. Retorno esperado ajustado: +1.8% em 10 dias (penalidade regime: 80%, vol: 72%). Meia-vida sinal: 1.5 dias, holding ótimo: 2 dias, probabilidade persistência: 30%. Regime mercado: lateral (tendência: 0.08, vol: 0.29) - condições favoráveis para este tipo de sinal."
CMIG4,"CMIG4 @ $11.29 BUY signal: 100.0% vs 96.0% threshold (margin: +4.0pts). Conviction: 6.4/10 (Moderate) - Model agreement: 100%, uncertainty: 0.01σ, stable ensemble. Top contributors: LSTM 10 (79.8%), LSTM (15.8%). Kelly-optimal position: 0.8% (vs 3% standard), risk-adjusted for 0.01 uncertainty. Regime-adjusted expected return: +1.7% over 10 days (regime penalty: 70%, vol penalty: 76%). Signal half-life: 10.3 days, optimal holding: 15 days, persistence probability: 95%. Market regime: sideways (trend: 0.09, vol: 0.27) - challenging conditions for this signal type.","CMIG4 @ $11.29 sinal COMPRA: 100.0% vs limiar 96.0% (margem: +4.0pts). Convicção: 6.4/10 (Moderado) - Consenso modelos: 100%, incerteza: 0.01σ, ensemble estável. Principais contribuintes: LSTM 10 (79.8%), LSTM (15.8%). Posição Kelly-ótima: 0.8% (vs 3% padrão), ajustada para incerteza 0.01. Retorno esperado ajustado: +1.7% em 10 dias (penalidade regime: 70%, vol: 76%). Meia-vida sinal: 10.3 dias, holding ótimo: 15 dias, probabilidade persistência: 95%. Regime mercado: lateral (tendência: 0.09, vol: 0.27) - condições desafiadoras para este tipo de sinal."
CPFE3,"CPFE3 @ $45.23 BUY signal: 74.0% vs 57.0% threshold (margin: +17.0pts). Conviction: 6.0/10 (Moderate) - Model agreement: 100%, uncertainty: 0.41σ, stable ensemble. Top contributors: LSTM (46.3%), LSTM 10 (22.9%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 0.41 uncertainty. Regime-adjusted expected return: +1.8% over 10 days (regime penalty: 70%, vol penalty: 82%). Signal half-life: 8.8 days, optimal holding: 13 days, persistence probability: 95%. Market regime: sideways (trend: 0.05, vol: 0.24) - challenging conditions for this signal type.","CPFE3 @ $45.23 sinal COMPRA: 74.0% vs limiar 57.0% (margem: +17.0pts). Convicção: 6.0/10 (Moderado) - Consenso modelos: 100%, incerteza: 0.41σ, ensemble estável. Principais contribuintes: LSTM (46.3%), LSTM 10 (22.9%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 0.41. Retorno esperado ajustado: +1.8% em 10 dias (penalidade regime: 70%, vol: 82%). Meia-vida sinal: 8.8 dias, holding ótimo: 13 dias, probabilidade persistência: 95%. Regime mercado: lateral (tendência: 0.05, vol: 0.24) - condições desafiadoras para este tipo de sinal."
CPLE3,"CPLE3 @ $16.10 BUY signal: 60.0% vs 54.0% threshold (margin: +6.0pts). Conviction: 2.4/10 (Weak) - Model agreement: 53%, uncertainty: 1.80σ, moderate ensemble. Top contributors: PPO (39.8%), LSTM (34.8%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 1.80 uncertainty. Regime-adjusted expected return: +2.2% over 10 days (regime penalty: 70%, vol penalty: 98%). Signal half-life: 2.7 days, optimal holding: 4 days, persistence probability: 40%. Market regime: sideways (trend: 0.10, vol: 0.16) - challenging conditions for this signal type.","CPLE3 @ $16.10 sinal COMPRA: 60.0% vs limiar 54.0% (margem: +6.0pts). Convicção: 2.4/10 (Fraco) - Consenso modelos: 53%, incerteza: 1.80σ, ensemble moderado. Principais contribuintes: PPO (39.8%), LSTM (34.8%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 1.80. Retorno esperado ajustado: +2.2% em 10 dias (penalidade regime: 70%, vol: 98%). Meia-vida sinal: 2.7 dias, holding ótimo: 4 dias, probabilidade persistência: 40%. Regime mercado: lateral (tendência: 0.10, vol: 0.16) - condições desafiadoras para este tipo de sinal."
CPLE5,"CPLE5 @ $13.58 shows an unclear signal with both BUY (62.0%, needs 2.0pts) and SELL (41.0%, needs 26.0pts) below thresholds. Conviction: 2.7/10 (Weak) - Model agreement: 57%, uncertainty: 1.24σ, stable ensemble. Top contributors: PPO (36.5%), LSTM 10 (31.0%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 1.24 uncertainty. Regime-adjusted expected return: +1.8% over 10 days (regime penalty: 80%, vol penalty: 72%). Signal half-life: 3.7 days, optimal holding: 6 days, persistence probability: 73%. Market regime: sideways (trend: 0.01, vol: 0.29) - favorable conditions for this signal type.","CPLE5 @ $13.58 sinal incerto: COMPRA (62.0%, precisa 2.0pts) e VENDA (41.0%, precisa 26.0pts) abaixo dos limiares. Convicção: 2.7/10 (Fraco) - Consenso modelos: 57%, incerteza: 1.24σ, ensemble estável. Principais contribuintes: PPO (36.5%), LSTM 10 (31.0%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 1.24. Retorno esperado ajustado: +1.8% em 10 dias (penalidade regime: 80%, vol: 72%). Meia-vida sinal: 3.7 dias, holding ótimo: 6 dias, probabilidade persistência: 73%. Regime mercado: lateral (tendência: 0.01, vol: 0.29) - condições favoráveis para este tipo de sinal."
CPLE6,"CPLE6 @ $14.26 BUY signal: 100.0% vs 76.0% threshold (margin: +24.0pts). Conviction: 6.3/10 (Moderate) - Model agreement: 100%, uncertainty: 0.52σ, stable ensemble. Top contributors: LSTM (39.1%), LSTM SR (36.7%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 0.52 uncertainty. Regime-adjusted expected return: +3.8% over 10 days (regime penalty: 120%, vol penalty: 98%). Signal half-life: 9.6 days, optimal holding: 14 days, persistence probability: 95%. Market regime: trending (trend: 0.11, vol: 0.16) - favorable conditions for this signal type.","CPLE6 @ $14.26 sinal COMPRA: 100.0% vs limiar 76.0% (margem: +24.0pts). Convicção: 6.3/10 (Moderado) - Consenso modelos: 100%, incerteza: 0.52σ, ensemble estável. Principais contribuintes: LSTM (39.1%), LSTM SR (36.7%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 0.52. Retorno esperado ajustado: +3.8% em 10 dias (penalidade regime: 120%, vol: 98%). Meia-vida sinal: 9.6 dias, holding ótimo: 14 dias, probabilidade persistência: 95%. Regime mercado: tendencial (tendência: 0.11, vol: 0.16) - condições favoráveis para este tipo de sinal."
CRM  ,"CRM   @ $236.42 shows an unclear signal with both BUY (0.0%, needs 40.0pts) and SELL (34.0%, needs 32.0pts) below thresholds. Conviction: 3.7/10 (Moderate) - Model agreement: 34%, uncertainty: 0.32σ, moderate ensemble. Top contributors: PPO (65.6%), LSTM Cla (34.4%). Kelly-optimal position: 0.6% (vs 3% standard), risk-adjusted for 0.32 uncertainty. Regime-adjusted expected return: +1.2% over 10 days (regime penalty: 60%, vol penalty: 60%). Signal half-life: 5.0 days, optimal holding: 8 days, persistence probability: 95%. Market regime: trending (trend: 0.13, vol: 0.90) - challenging conditions for this signal type.","CRM   @ $236.42 sinal incerto: COMPRA (0.0%, precisa 40.0pts) e VENDA (34.0%, precisa 32.0pts) abaixo dos limiares. Convicção: 3.7/10 (Moderado) - Consenso modelos: 34%, incerteza: 0.32σ, ensemble moderado. Principais contribuintes: PPO (65.6%), LSTM Cla (34.4%). Posição Kelly-ótima: 0.6% (vs 3% padrão), ajustada para incerteza 0.32. Retorno esperado ajustado: +1.2% em 10 dias (penalidade regime: 60%, vol: 60%). Meia-vida sinal: 5.0 dias, holding ótimo: 8 dias, probabilidade persistência: 95%. Regime mercado: tendencial (tendência: 0.13, vol: 0.90) - condições desafiadoras para este tipo de sinal."
CSAN ,"CSAN  @ $2.75 shows an unclear signal with both BUY (0.0%, needs 25.0pts) and SELL (64.0%, needs 4.0pts) below thresholds. Conviction: 2.8/10 (Weak) - Model agreement: 60%, uncertainty: 1.59σ, stable ensemble. Top contributors: LSTM SR (22.8%), LSTM 10 (17.1%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 1.59 uncertainty. Regime-adjusted expected return: +1.5% over 10 days (regime penalty: 80%, vol penalty: 60%). Signal half-life: 1.8 days, optimal holding: 3 days, persistence probability: 48%. Market regime: sideways (trend: 0.01, vol: 0.46) - favorable conditions for this signal type.","CSAN  @ $2.75 sinal incerto: COMPRA (0.0%, precisa 25.0pts) e VENDA (64.0%, precisa 4.0pts) abaixo dos limiares. Convicção: 2.8/10 (Fraco) - Consenso modelos: 60%, incerteza: 1.59σ, ensemble estável. Principais contribuintes: LSTM SR (22.8%), LSTM 10 (17.1%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 1.59. Retorno esperado ajustado: +1.5% em 10 dias (penalidade regime: 80%, vol: 60%). Meia-vida sinal: 1.8 dias, holding ótimo: 3 dias, probabilidade persistência: 48%. Regime mercado: lateral (tendência: 0.01, vol: 0.46) - condições favoráveis para este tipo de sinal."
CSAN3,"CSAN3 @ $3.75 SELL signal: 59.0% vs 46.0% threshold (margin: +13.0pts). Conviction: 4.0/10 (Moderate) - Model agreement: 100%, uncertainty: 1.89σ, stable ensemble. Top contributors: TD3 (15.9%), LSTM Cla (15.8%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 1.89 uncertainty. Regime-adjusted expected return: +1.3% over 10 days (regime penalty: 70%, vol penalty: 60%). Signal half-life: 1.8 days, optimal holding: 3 days, persistence probability: 48%. Market regime: sideways (trend: 0.06, vol: 0.46) - challenging conditions for this signal type.","CSAN3 @ $3.75 sinal VENDA: 59.0% vs limiar 46.0% (margem: +13.0pts). Convicção: 4.0/10 (Moderado) - Consenso modelos: 100%, incerteza: 1.89σ, ensemble estável. Principais contribuintes: TD3 (15.9%), LSTM Cla (15.8%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 1.89. Retorno esperado ajustado: +1.3% em 10 dias (penalidade regime: 70%, vol: 60%). Meia-vida sinal: 1.8 dias, holding ótimo: 3 dias, probabilidade persistência: 48%. Regime mercado: lateral (tendência: 0.06, vol: 0.46) - condições desafiadoras para este tipo de sinal."
CSMG3,"CSMG3 @ $56.90 shows an unclear signal with both BUY (26.0%, needs 30.0pts) and SELL (0.0%, needs 51.0pts) below thresholds. Conviction: 1.9/10 (Weak) - Model agreement: 32%, uncertainty: 0.97σ, moderate ensemble. Top contributors: LSTM Cla (31.1%), LSTM SR (24.8%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 0.97 uncertainty. Regime-adjusted expected return: +2.2% over 10 days (regime penalty: 80%, vol penalty: 84%). Signal half-life: 4.8 days, optimal holding: 7 days, persistence probability: 82%. Market regime: sideways (trend: 0.04, vol: 0.23) - favorable conditions for this signal type.","CSMG3 @ $56.90 sinal incerto: COMPRA (26.0%, precisa 30.0pts) e VENDA (0.0%, precisa 51.0pts) abaixo dos limiares. Convicção: 1.9/10 (Fraco) - Consenso modelos: 32%, incerteza: 0.97σ, ensemble moderado. Principais contribuintes: LSTM Cla (31.1%), LSTM SR (24.8%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 0.97. Retorno esperado ajustado: +2.2% em 10 dias (penalidade regime: 80%, vol: 84%). Meia-vida sinal: 4.8 dias, holding ótimo: 7 dias, probabilidade persistência: 82%. Regime mercado: lateral (tendência: 0.04, vol: 0.23) - condições favoráveis para este tipo de sinal."
